,Nazwa,Poziom,Województwo,Skuteczność[%]
1,Gracz 1,Extreme,Opolskie,100
2,Gracz 3,Extreme,Opolskie,100
3,test,Extreme,Świętokrzyskie,100
4,Gracz 5,Extreme,Lubuskie,100
5,Gracz test,Extreme,Opolskie,100
6,karol,Extreme,Lubelskie,100
7,test,Extreme,Dolnośląskie,97
8,pkstz,Extreme,Zachodniopomorskie,95
11,Gracz 8,Extreme,Opolskie,92
9,Gracz 11,Extreme,Opolskie,92
10,Gracz a,Extreme,Opolskie,92
13,Gracz test 2,Extreme,Lubelskie,88
12,Gracz 26,Extreme,Podlaskie,88
14,Maks,Extreme,Dolnośląskie,87
15,maks,Extreme,Wszystkie,85
16,k,Extreme,Opolskie,83
17,Agusia696969,Extreme,Wielkopolskie,82
18,Maks,Extreme,Lubelskie,72
19,l,Extreme,Opolskie,67
20,mak,Easy,Opolskie,67
21,pkstz,Extreme,Zachodniopomorskie,66
22,Arczi,Extreme,Dolnośląskie,65
23,wiki <3,Extreme,Lubelskie,60
24,testyyyyyyy,Extreme,Kujawsko-Pomorskie,57
25,k,Hard,Lubuskie,50
26,Maks,Extreme,Podlaskie,48
27,a,Medium,Opolskie,42
28,Karolcio,Extreme,Wielkopolskie,42
29,a,Extreme,Lubelskie,42
30,karol,Extreme,Opolskie,42
31,maks,Extreme,Wszystkie,40
34,,Extreme,Dolnośląskie,36
32,a,Hard,Lubuskie,36
33,Maks,Extreme,Opolskie,36
36,,Extreme,Podlaskie,35
38,kkk,Easy,Podlaskie,35
37,szymek,Extreme,Kujawsko-Pomorskie,35
35,Maks,Medium,Podlaskie,35
43,k,Extreme,Małopolskie,33
47,,Extreme,Opolskie,33
46,uj,Medium,Opolskie,33
45,maks,Extreme,Śląskie,33
44,pkstz,Extreme,Zachodniopomorskie,33
48,maks,Extreme,Śląskie,33
42,d,Extreme,Lubelskie,33
41,h,Extreme,Opolskie,33
40,hjk,Extreme,Lubelskie,33
39,h,Hard,Małopolskie,33
49,aa,Extreme,Dolnośląskie,32